,City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed
505,Mora,CM,11.05,87.8,55,20,8.05
506,Kolondieba,ML,11.09,94.04,52,32,12.88
507,Le Havre,FR,49.49,60.17,55,0,11.41
508,Miranda,BR,-20.24,80.99,67,0,3.83
509,Yaring,TH,6.87,77.57,89,0,2.48
510,Palmerston,AU,-12.49,71.6,46,0,6.93
511,Muriwai Beach,NZ,-36.82,44.6,87,0,2.24
512,Kenora,CA,49.76,76.14,78,1,8.05
513,Fereydun Kenar,IR,36.69,77.0,69,90,6.93
514,Hakodate,JP,41.8,58.04,89,48,9.98
515,Ulladulla,AU,-35.36,42.8,93,0,4.7
516,Knysna,ZA,-34.04,69.8,35,0,4.7
517,Nalut,LY,31.86,85.85,41,0,5.73
518,Manjacaze,MZ,-24.71,76.31,59,0,3.38
519,Urusha,RU,54.05,56.15,96,24,2.59
520,Katsuura,JP,33.93,66.32,90,0,1.92
521,College,US,64.86,63.14,52,1,6.93
522,Antofagasta,CL,-23.65,59.0,62,90,4.7
523,Sindor,RU,62.87,70.28,65,20,4.94
524,Viesca,MX,25.34,84.2,45,5,9.17
525,Praia da Vitoria,PT,38.73,73.4,64,20,7.52
526,Douentza,ML,15.01,105.02,27,0,8.86
527,Kiunga,PG,-6.12,71.45,100,92,1.92
528,Santa Rosa,AR,-36.62,55.25,41,0,13.0
529,Hastings,US,40.59,66.24,77,90,20.8
530,Martinsville,US,36.69,83.88,58,1,4.27
531,Kota Belud,MY,6.35,78.8,83,75,6.93
532,Kiliya,UA,45.46,86.0,42,20,11.41
533,Lugovoy,RU,59.72,61.19,63,24,9.98
534,Antsohihy,MG,-14.88,81.62,37,0,11.99
535,Hualmay,PE,-11.1,63.71,81,12,2.93
536,Epe,NG,6.59,74.24,100,92,8.19
537,Pokrov,RU,55.92,74.24,51,36,14.45
538,Nenagh,IE,52.86,62.6,45,40,12.75
539,Akureyri,IS,65.68,59.0,54,40,19.46
540,Markovo,RU,55.46,75.81,41,0,15.66
541,Alice Springs,AU,-23.7,39.2,64,0,4.7
542,San Carlos de Bariloche,AR,-41.13,42.8,60,75,24.16
543,Pimentel,PE,-6.84,66.2,88,75,5.82
544,Uthal,PK,25.81,87.92,65,8,14.23
545,Babynino,RU,54.39,76.58,51,0,10.54
546,Diamantino,BR,-14.4,83.96,62,0,5.39
547,Mattru,SL,7.62,83.51,74,76,6.96
548,Snezhnogorsk,RU,69.19,50.0,87,75,2.24
549,Fuerte Olimpo,PY,-21.04,84.68,59,0,7.18
550,Pathalgaon,IN,22.56,75.41,94,32,2.71
551,Pauini,BR,-7.71,81.44,77,80,3.71
552,Flin Flon,CA,54.77,75.2,60,75,3.36
553,Matara,LK,5.95,77.66,100,88,12.77
554,Bogandinskiy,RU,56.89,60.8,51,20,15.66
555,Umm Kaddadah,SD,13.6,88.82,47,44,7.63
556,Bumba,CD,2.18,73.79,96,80,3.6
557,Salvador,BR,-12.98,82.4,69,20,8.05
558,Yinchuan,CN,38.48,65.33,83,0,2.59
559,Srednekolymsk,RU,67.46,56.42,73,0,2.93
560,Moose Factory,CA,51.26,62.6,45,1,3.36
561,Marsabit,KE,2.34,78.29,67,0,8.08
562,Torbay,CA,47.66,71.6,37,75,27.51
563,Nigde,TR,37.97,63.53,67,68,2.93
564,Biak,ID,-0.91,76.4,100,76,4.27
565,Roma,AU,-26.57,40.94,82,0,4.5
566,Karpogory,RU,64.0,56.69,94,100,6.96
567,Biltine,TD,14.53,83.51,71,56,5.39
568,Ocampo,MX,27.32,76.76,54,0,4.05
569,Oulu,FI,65.01,59.0,41,0,10.29
570,Kyzyl-Suu,KG,42.34,54.53,100,24,6.85
571,Kununurra,AU,-15.77,55.4,58,0,10.65
572,Williston,US,48.15,71.37,56,1,4.5
573,Aanekoski,FI,62.6,64.4,34,0,12.75
574,Valdivia,CL,-39.81,50.0,93,75,3.36
575,Dori,BF,14.03,101.69,36,32,6.73
576,Nador,MA,35.17,76.23,78,40,9.17
577,Marion,US,40.59,72.28,73,1,6.93
578,Morros,BR,-2.87,86.0,66,75,5.82
579,Petropavlovsk-Kamchatskiy,RU,53.05,46.4,87,40,6.71
580,Kawalu,ID,-7.38,67.85,97,80,1.03
581,Kondoa,TZ,-4.91,71.63,64,92,6.4
582,Maiduguri,NG,11.84,83.06,86,12,8.63
583,Grand Gaube,MU,-20.01,75.2,83,75,6.93
584,Karia,GR,38.21,83.25,48,20,4.7
585,Pochutla,MX,15.74,80.6,74,75,3.36
586,Olga,RU,43.74,58.04,84,32,5.17
587,Toora-Khem,RU,52.47,51.47,99,92,4.38
588,We,NC,-20.92,69.47,90,32,9.64
589,Pizarro,CO,4.95,77.39,100,48,3.27
590,Bayeux,FR,49.28,60.37,62,8,9.17
591,Turinsk,RU,58.04,62.09,44,92,9.42
592,Nouakchott,MR,18.08,71.09,90,0,8.75
593,Santa Fe,CU,23.13,86.0,70,40,3.36
594,Jiuquan,CN,39.73,61.64,64,8,2.71
595,Celestun,MX,20.87,82.34,95,0,13.67
596,Santiago del Estero,AR,-27.8,70.91,48,0,17.25
597,Kiama,AU,-34.67,42.8,93,0,4.7
598,Sturgeon Falls,CA,46.36,55.4,63,20,8.05
599,Komsomolskiy,RU,67.55,64.61,66,36,12.21
600,San Joaquin,BO,-16.38,83.6,68,0,10.42
601,Christchurch,NZ,-43.53,28.4,100,0,3.36
602,Sri Aman,MY,1.24,78.8,94,64,2.24
603,Arlit,NE,18.74,103.31,24,8,4.38
604,Alyangula,AU,-13.85,72.71,100,0,13.33
605,Chorozinho,BR,-4.3,86.0,48,0,13.87
606,Seoul,KR,37.57,67.98,77,0,4.7
607,Pontianak,ID,-0.02,82.4,83,40,3.27
608,Chara,RU,56.9,48.59,99,64,1.48
609,Zdvinsk,RU,54.7,71.72,48,12,10.2
610,Valparaiso,CL,-33.04,56.26,44,0,17.22
611,Mountain Home,US,43.13,65.46,68,1,14.99
612,Ulaanbaatar,MN,47.92,60.8,55,20,4.47
613,Pokhara,NP,28.21,61.1,86,48,3.38
614,Samarinda,ID,-0.5,75.32,97,12,2.15
